Player,Awards
AB de Villiers,25
CH Gayle,22
RG Sharma,19
DA Warner,18
V Kohli,18
MS Dhoni,17
SR Watson,16
YK Pathan,16
RA Jadeja,16
SP Narine,15
AD Russell,15
SK Raina,14
KA Pollard,14
G Gambhir,13
AM Rahane,13
